INFO 2025-09-11 20:01:08,768 basehttp 24920 8632 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-11 20:01:08,775 basehttp 24920 8632 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,778 basehttp 24920 29656 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,778 basehttp 24920 7648 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,778 basehttp 24920 27388 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,779 basehttp 24920 8632 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,779 basehttp 24920 13788 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-09-11 20:01:08,779 basehttp 24920 29752 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-11 20:01:21,314 basehttp 24920 29752 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-11 20:01:21,316 basehttp 24920 29752 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-11 20:01:26,032 basehttp 24920 29752 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-11 20:01:32,197 basehttp 24920 29752 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-11 20:01:32,217 basehttp 24920 29752 "GET /admin/ HTTP/1.1" 200 6706
INFO 2025-09-11 20:01:32,231 basehttp 24920 29752 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-09-11 20:01:32,232 basehttp 24920 13788 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-09-11 20:01:32,232 basehttp 24920 27388 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-09-11 20:01:34,044 basehttp 24920 27388 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:01:34,057 basehttp 24920 13788 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:34,059 basehttp 24920 27388 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-09-11 20:01:34,063 basehttp 24920 29656 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-09-11 20:01:34,067 basehttp 24920 7648 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
